id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
1492,06:45:49 11-17-2021,07:00:54 11-17-2021,Left Breast,,,,15,Breast Milk,,
1491,20:37:22 11-16-2021,20:50:07 11-16-2021,Right Breast,,,,12,Breast Milk,,
1486,19:29:41 11-16-2021,19:41:27 11-16-2021,Left Breast,,,,11,Breast Milk,,
1485,17:20:29 11-16-2021,17:35:29 11-16-2021,Right Breast,,,,15,Breast Milk,,
1490,15:17:27 11-16-2021,15:30:27 11-16-2021,Bottle,3.00,88,,13,Liquid,IMPERIAL,Pump
1489,13:10:11 11-16-2021,13:15:11 11-16-2021,Bottle,3.00,88,,5,Liquid,IMPERIAL,Pump
1488,10:44:02 11-16-2021,10:57:02 11-16-2021,Bottle,3.00,88,,13,Liquid,IMPERIAL,Pump
1487,07:59:44 11-16-2021,08:10:44 11-16-2021,Bottle,2.00,59,,11,Liquid,IMPERIAL,Pump
1484,06:12:37 11-16-2021,06:20:13 11-16-2021,Left Breast,,,,7,Breast Milk,,
1483,03:20:19 11-16-2021,03:35:19 11-16-2021,Right Breast,,,,15,Breast Milk,,
1482,23:45:49 11-15-2021,00:00:49 11-16-2021,Left Breast,,,,15,Breast Milk,,
1481,20:40:08 11-15-2021,21:00:31 11-15-2021,Right Breast,,,,20,Breast Milk,,
1476,18:39:24 11-15-2021,18:47:39 11-15-2021,Left Breast,,,,8,Breast Milk,,
1475,17:17:16 11-15-2021,17:22:01 11-15-2021,Right Breast,,,,4,Breast Milk,,
1480,15:00:42 11-15-2021,15:15:42 11-15-2021,Bottle,3.00,88,,15,Liquid,IMPERIAL,Pump
1479,12:00:14 11-15-2021,12:05:14 11-15-2021,Bottle,1.00,29,,5,Liquid,IMPERIAL,Pump
1478,09:08:48 11-15-2021,09:20:48 11-15-2021,Bottle,2.00,59,,12,Liquid,IMPERIAL,Pump
1477,08:00:34 11-15-2021,08:10:34 11-15-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1474,21:40:13 11-14-2021,21:55:39 11-14-2021,Right Breast,,,,15,Breast Milk,,
1473,21:25:48 11-14-2021,21:34:48 11-14-2021,Right Breast,,,,9,Breast Milk,,
1472,20:38:13 11-14-2021,20:45:21 11-14-2021,Right Breast,,,,7,Breast Milk,,
1471,18:57:06 11-14-2021,19:08:34 11-14-2021,Left Breast,,,,11,Breast Milk,,
1470,16:17:47 11-14-2021,16:30:17 11-14-2021,Right Breast,,,,12,Breast Milk,,
1469,13:01:49 11-14-2021,13:12:37 11-14-2021,Left Breast,,,,10,Breast Milk,,
1468,12:53:56 11-14-2021,12:59:56 11-14-2021,Right Breast,,,,6,Breast Milk,,
1467,11:51:28 11-14-2021,11:58:43 11-14-2021,Right Breast,,,,7,Breast Milk,,
1466,09:33:59 11-14-2021,09:49:05 11-14-2021,Right Breast,,,,15,Breast Milk,,
1465,08:37:50 11-14-2021,08:50:00 11-14-2021,Left Breast,,,,12,Breast Milk,,
1464,06:40:11 11-14-2021,06:57:18 11-14-2021,Right Breast,,,,17,Breast Milk,,
1463,20:25:54 11-13-2021,20:36:48 11-13-2021,Left Breast,,,,10,Breast Milk,,
1462,18:42:58 11-13-2021,19:00:57 11-13-2021,Right Breast,,,,17,Breast Milk,,
1461,14:48:43 11-13-2021,15:18:32 11-13-2021,Left Breast,,,,29,Breast Milk,,
1460,12:52:46 11-13-2021,13:07:29 11-13-2021,Right Breast,,,,14,Breast Milk,,
1456,10:32:16 11-13-2021,10:41:16 11-13-2021,Left Breast,,,,9,Breast Milk,,
1455,07:31:21 11-13-2021,07:39:06 11-13-2021,Right Breast,,,,7,Breast Milk,,
1454,03:41:25 11-13-2021,04:00:13 11-13-2021,Left Breast,,,,18,Breast Milk,,
1453,23:54:37 11-12-2021,00:07:45 11-13-2021,Left Breast,,,,13,Breast Milk,,
1447,20:42:05 11-12-2021,20:51:05 11-12-2021,Right Breast,,,,9,Breast Milk,,
1448,19:49:29 11-12-2021,19:59:29 11-12-2021,Left Breast,,,,10,Breast Milk,,
1449,19:00:49 11-12-2021,19:10:49 11-12-2021,Right Breast,,,,10,Breast Milk,,
1450,17:20:05 11-12-2021,17:35:05 11-12-2021,Left Breast,,,,15,Breast Milk,,
1459,14:29:45 11-12-2021,14:40:45 11-12-2021,Bottle,3.00,88,,11,Liquid,IMPERIAL,Pump
1458,11:13:29 11-12-2021,11:30:29 11-12-2021,Bottle,3.00,88,,17,Liquid,IMPERIAL,Pump
1457,08:18:11 11-12-2021,08:30:11 11-13-2021,Bottle,3.00,88,,1452,Liquid,IMPERIAL,Pump
1452,07:15:51 11-12-2021,07:25:51 11-12-2021,Left Breast,,,,10,Breast Milk,,
1451,06:30:27 11-12-2021,06:50:27 11-12-2021,Right Breast,,,,20,Breast Milk,,
1445,20:24:27 11-11-2021,20:33:27 11-11-2021,Left Breast,,,,9,Breast Milk,,
1446,19:24:30 11-11-2021,19:35:30 11-11-2021,Right Breast,,,,11,Breast Milk,,
1438,18:13:37 11-11-2021,18:16:18 11-11-2021,Left Breast,,,,2,Breast Milk,,
1439,17:20:23 11-11-2021,17:35:23 11-11-2021,Right Breast,,,,15,Breast Milk,,
1444,14:45:33 11-11-2021,15:00:33 11-11-2021,Bottle,4.00,118,,15,Liquid,IMPERIAL,Pump
1443,11:20:14 11-11-2021,11:30:14 11-11-2021,Bottle,2.50,73,,10,Liquid,IMPERIAL,Pump
1442,08:45:47 11-11-2021,08:55:47 11-11-2021,Bottle,2.50,73,,10,Liquid,IMPERIAL,Pump
1441,08:00:32 11-11-2021,08:05:32 11-11-2021,Bottle,0.50,14,,5,Liquid,IMPERIAL,Pump
1440,06:35:38 11-11-2021,06:50:38 11-11-2021,Left Breast,,,,15,Breast Milk,,
1437,03:55:17 11-11-2021,04:10:17 11-11-2021,Right Breast,,,,15,Breast Milk,,
1436,01:25:01 11-11-2021,01:45:15 11-11-2021,Left Breast,,,,20,Breast Milk,,
1435,20:14:48 11-10-2021,20:50:22 11-10-2021,Right Breast,,,,35,Breast Milk,,
1431,19:05:17 11-10-2021,19:30:18 11-10-2021,Left Breast,,,,25,Breast Milk,,
1430,17:27:24 11-10-2021,17:52:33 11-10-2021,Right Breast,,,,25,Breast Milk,,
1434,16:09:39 11-10-2021,16:20:39 11-10-2021,Bottle,3.00,88,,11,Liquid,IMPERIAL,Pump
1433,11:15:21 11-10-2021,11:30:21 11-10-2021,Bottle,2.50,73,,15,Liquid,IMPERIAL,Pump
1432,08:31:03 11-10-2021,08:40:03 11-10-2021,Bottle,3.00,88,,9,Liquid,IMPERIAL,Pump
1427,04:16:26 11-10-2021,04:36:17 11-10-2021,Left Breast,,,,19,Breast Milk,,
1428,01:30:27 11-10-2021,01:45:27 11-10-2021,Right Breast,,,,15,Breast Milk,,
1429,01:15:52 11-10-2021,01:30:52 11-10-2021,Left Breast,,,,15,Breast Milk,,
1426,20:55:55 11-09-2021,21:13:16 11-09-2021,Right Breast,,,,17,Breast Milk,,
1420,19:07:13 11-09-2021,19:14:18 11-09-2021,Left Breast,,,,7,Breast Milk,,
1419,17:22:49 11-09-2021,17:41:04 11-09-2021,Right Breast,,,,18,Breast Milk,,
1425,15:54:38 11-09-2021,16:05:38 11-09-2021,Bottle,3.00,88,,11,Liquid,IMPERIAL,Pump
1424,13:59:59 11-09-2021,14:10:59 11-09-2021,Bottle,1.50,44,,11,Liquid,IMPERIAL,Pump
1423,12:53:34 11-09-2021,13:10:34 11-09-2021,Bottle,1.50,44,,17,Liquid,IMPERIAL,Pump
1422,10:55:08 11-09-2021,11:10:08 11-09-2021,Bottle,3.00,88,,15,Liquid,IMPERIAL,Pump
1421,08:10:50 11-09-2021,08:30:50 11-09-2021,Bottle,3.00,88,,20,Liquid,IMPERIAL,Pump
1418,06:10:06 11-09-2021,06:20:20 11-09-2021,Left Breast,,,,10,Breast Milk,,
1417,02:30:57 11-09-2021,03:00:57 11-09-2021,Right Breast,,,,30,Breast Milk,,
1416,20:41:17 11-08-2021,20:46:11 11-08-2021,Left Breast,,,,4,Breast Milk,,
1415,19:46:37 11-08-2021,19:49:07 11-08-2021,Right Breast,,,,2,Breast Milk,,
1409,18:21:38 11-08-2021,18:31:50 11-08-2021,Left Breast,,,,10,Breast Milk,,
1408,16:53:19 11-08-2021,17:05:22 11-08-2021,Right Breast,,,,12,Breast Milk,,
1414,15:00:00 11-08-2021,15:20:00 11-08-2021,Bottle,3.00,88,,20,Liquid,IMPERIAL,Pump
1413,13:18:18 11-08-2021,13:30:18 11-08-2021,Bottle,1.50,44,,12,Liquid,IMPERIAL,Pump
1412,10:52:49 11-08-2021,11:05:49 11-08-2021,Bottle,2.50,73,,13,Liquid,IMPERIAL,Pump
1411,08:50:19 11-08-2021,09:00:19 11-08-2021,Bottle,1.50,44,,10,Liquid,IMPERIAL,Pump
1410,07:57:58 11-08-2021,08:05:58 11-08-2021,Bottle,1.50,44,,8,Liquid,IMPERIAL,Pump
1407,06:21:01 11-08-2021,06:23:32 11-08-2021,Left Breast,,,,2,Breast Milk,,
1406,04:14:44 11-08-2021,04:35:19 11-08-2021,Right Breast,,,,20,Breast Milk,,
1405,00:08:38 11-08-2021,00:15:38 11-08-2021,Left Breast,,,,7,Breast Milk,,
1404,20:09:17 11-07-2021,20:45:21 11-07-2021,Right Breast,,,,36,Breast Milk,,
1403,18:43:38 11-07-2021,19:15:35 11-07-2021,Right Breast,,,,31,Breast Milk,,
1402,17:29:53 11-07-2021,17:36:28 11-07-2021,Left Breast,,,,6,Breast Milk,,
1401,16:52:32 11-07-2021,17:02:38 11-07-2021,Right Breast,,,,10,Breast Milk,,
1400,15:01:57 11-07-2021,15:03:21 11-07-2021,Right Breast,,,,1,Breast Milk,,
1399,14:31:07 11-07-2021,14:39:47 11-07-2021,Left Breast,,,,8,Breast Milk,,
1398,13:29:50 11-07-2021,13:42:15 11-07-2021,Right Breast,,,,12,Breast Milk,,
1397,11:51:56 11-07-2021,12:00:09 11-07-2021,Right Breast,,,,8,Breast Milk,,
1396,10:55:11 11-07-2021,11:22:46 11-07-2021,Left Breast,,,,27,Breast Milk,,
1395,10:46:26 11-07-2021,10:55:06 11-07-2021,Right Breast,,,,8,Breast Milk,,
1394,09:35:35 11-07-2021,09:47:56 11-07-2021,Right Breast,,,,12,Breast Milk,,
1393,08:53:27 11-07-2021,08:57:54 11-07-2021,Left Breast,,,,4,Breast Milk,,
1392,07:08:09 11-07-2021,07:32:25 11-07-2021,Right Breast,,,,24,Breast Milk,,
1391,04:28:37 11-07-2021,04:38:14 11-07-2021,Left Breast,,,,9,Breast Milk,,
1390,02:01:31 11-07-2021,02:31:57 11-07-2021,Right Breast,,,,30,Breast Milk,,
1389,01:08:37 11-07-2021,01:20:54 11-07-2021,Left Breast,,,,12,Breast Milk,,
1388,21:11:47 11-06-2021,21:20:47 11-06-2021,Left Breast,,,,9,Breast Milk,,
1387,20:44:32 11-06-2021,20:54:02 11-06-2021,Right Breast,,,,9,Breast Milk,,
1386,19:35:39 11-06-2021,19:56:20 11-06-2021,Left Breast,,,,20,Breast Milk,,
1385,16:33:46 11-06-2021,16:51:21 11-06-2021,Right Breast,,,,17,Breast Milk,,
1384,15:04:45 11-06-2021,15:23:44 11-06-2021,Left Breast,,,,18,Breast Milk,,
1383,13:27:09 11-06-2021,13:42:09 11-06-2021,Right Breast,,,,14,Breast Milk,,
1382,11:12:22 11-06-2021,11:52:28 11-06-2021,Left Breast,,,,40,Breast Milk,,
1381,09:28:45 11-06-2021,09:50:48 11-06-2021,Right Breast,,,,22,Breast Milk,,
1380,02:48:49 11-06-2021,03:00:34 11-06-2021,Right Breast,,,,11,Breast Milk,,
1379,22:22:56 11-05-2021,22:45:42 11-05-2021,Left Breast,,,,22,Breast Milk,,
1378,20:30:07 11-05-2021,20:45:07 11-05-2021,Right Breast,,,,15,Breast Milk,,
1377,19:26:51 11-05-2021,19:40:43 11-05-2021,Right Breast,,,,13,Breast Milk,,
1376,18:50:29 11-05-2021,18:53:52 11-05-2021,Left Breast,,,,3,Breast Milk,,
1375,15:50:30 11-05-2021,16:06:31 11-05-2021,Right Breast,,,,16,Breast Milk,,
1374,14:29:57 11-05-2021,14:39:16 11-05-2021,Left Breast,,,,9,Breast Milk,,
1373,13:45:44 11-05-2021,14:00:44 11-05-2021,Right Breast,,,,15,Breast Milk,,
1368,20:03:30 11-04-2021,20:45:21 11-04-2021,Right Breast,,,,41,Breast Milk,,
1366,18:00:29 11-04-2021,18:18:29 11-04-2021,Right Breast,,,,18,Breast Milk,,
1365,16:27:29 11-04-2021,17:03:26 11-04-2021,Left Breast,,,,35,Breast Milk,,
1364,14:30:01 11-04-2021,14:42:05 11-04-2021,Right Breast,,,,12,Breast Milk,,
1367,12:48:29 11-04-2021,13:50:29 11-04-2021,Bottle,3.00,88,,62,Liquid,IMPERIAL,Pump
1363,10:59:18 11-04-2021,11:15:18 11-04-2021,Bottle,3.00,88,,16,Liquid,IMPERIAL,Pump
1362,07:22:45 11-04-2021,07:31:45 11-04-2021,Right Breast,,,,9,Breast Milk,,
1361,05:03:15 11-04-2021,05:13:47 11-04-2021,Left Breast,,,,10,Breast Milk,,
1360,02:37:57 11-04-2021,02:58:59 11-04-2021,Right Breast,,,,21,Breast Milk,,
1358,20:34:26 11-03-2021,20:56:30 11-03-2021,Left Breast,,,,22,Breast Milk,,
1359,20:30:29 11-03-2021,21:04:29 11-03-2021,Left Breast,,,,34,Breast Milk,,
1357,19:31:24 11-03-2021,19:40:24 11-03-2021,Right Breast,,,,9,Breast Milk,,
1356,18:40:07 11-03-2021,19:05:07 11-03-2021,Left Breast,,,,25,Breast Milk,,
1355,18:19:05 11-03-2021,18:26:08 11-03-2021,Right Breast,,,,7,Breast Milk,,
1354,15:50:17 11-03-2021,16:00:17 11-03-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1353,13:50:04 11-03-2021,14:00:04 11-03-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1352,11:00:41 11-03-2021,11:10:41 11-03-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1351,08:20:30 11-03-2021,08:30:30 11-03-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1350,05:30:17 11-03-2021,05:45:17 11-03-2021,Right Breast,,,,15,Breast Milk,,
1349,03:13:38 11-03-2021,03:19:34 11-03-2021,Left Breast,,,,5,Breast Milk,,
1348,02:53:09 11-03-2021,03:02:09 11-03-2021,Right Breast,,,,9,Breast Milk,,
1347,00:52:43 11-03-2021,01:15:43 11-03-2021,Right Breast,,,,23,Breast Milk,,
1346,20:39:29 11-02-2021,20:42:58 11-02-2021,Left Breast,,,,3,Breast Milk,,
1345,19:57:33 11-02-2021,20:20:20 11-02-2021,Right Breast,,,,22,Breast Milk,,
1344,19:17:18 11-02-2021,19:27:27 11-02-2021,Left Breast,,,,10,Breast Milk,,
1343,17:38:16 11-02-2021,17:52:26 11-02-2021,Right Breast,,,,14,Breast Milk,,
1342,15:56:29 11-02-2021,16:10:29 11-02-2021,Bottle,3.00,88,,14,Liquid,IMPERIAL,Pump
1341,12:38:08 11-02-2021,12:50:08 11-02-2021,Bottle,3.00,88,,12,Liquid,IMPERIAL,Pump
1340,10:00:58 11-02-2021,10:15:58 11-02-2021,Bottle,3.00,88,,15,Liquid,IMPERIAL,Pump
1339,08:15:41 11-02-2021,08:30:41 11-02-2021,Bottle,2.00,59,,15,Liquid,IMPERIAL,Pump
1338,07:25:56 11-02-2021,07:28:47 11-02-2021,Left Breast,,,,2,Breast Milk,,
1337,06:14:49 11-02-2021,06:35:51 11-02-2021,Right Breast,,,,21,Breast Milk,,
1336,01:56:41 11-02-2021,02:06:21 11-02-2021,Left Breast,,,,9,Breast Milk,,
1335,00:16:58 11-02-2021,00:25:58 11-02-2021,Right Breast,,,,9,Breast Milk,,
1329,20:13:36 11-01-2021,20:25:13 11-01-2021,Right Breast,,,,11,Breast Milk,,
1328,16:35:32 11-01-2021,17:01:44 11-01-2021,Right Breast,,,,26,Breast Milk,,
1334,15:45:55 11-01-2021,16:00:55 11-01-2021,Bottle,1.50,44,,15,Liquid,IMPERIAL,Pump
1333,14:57:09 11-01-2021,15:05:09 11-01-2021,Bottle,1.50,44,,8,Liquid,IMPERIAL,Pump
1332,12:49:43 11-01-2021,13:00:43 11-01-2021,Bottle,2.50,73,,11,Liquid,IMPERIAL,Pump
1331,10:26:13 11-01-2021,10:41:13 11-01-2021,Bottle,1.50,44,,15,Liquid,IMPERIAL,Pump
1330,08:15:28 11-01-2021,08:30:28 11-01-2021,Bottle,3.00,88,,15,Liquid,IMPERIAL,Pump
1327,06:36:53 11-01-2021,06:39:28 11-01-2021,Right Breast,,,,2,Breast Milk,,
1325,04:01:49 11-01-2021,05:30:49 11-01-2021,Left Breast,,,,88,Breast Milk,,
1326,00:08:24 11-01-2021,00:23:24 11-01-2021,Right Breast,,,,15,Breast Milk,,
1322,20:22:58 10-31-2021,20:31:58 10-31-2021,Right Breast,,,,9,Breast Milk,,
1323,20:00:00 10-31-2021,20:12:00 10-31-2021,Left Breast,,,,12,Breast Milk,,
1324,17:30:14 10-31-2021,17:46:14 10-31-2021,Right Breast,,,,16,Breast Milk,,
1321,16:05:35 10-31-2021,16:23:21 10-31-2021,Left Breast,,,,17,Breast Milk,,
1320,12:44:32 10-31-2021,13:03:57 10-31-2021,Right Breast,,,,19,Breast Milk,,
1319,10:57:53 10-31-2021,11:10:57 10-31-2021,Left Breast,,,,13,Breast Milk,,
1318,09:36:40 10-31-2021,09:40:29 10-31-2021,Left Breast,,,,3,Breast Milk,,
1317,08:44:04 10-31-2021,09:00:37 10-31-2021,Left Breast,,,,16,Breast Milk,,
1316,08:10:23 10-31-2021,08:31:23 10-31-2021,Right Breast,,,,21,Breast Milk,,
1315,05:04:26 10-31-2021,05:30:11 10-31-2021,Right Breast,,,,25,Breast Milk,,
1314,02:18:07 10-31-2021,02:35:24 10-31-2021,Left Breast,,,,17,Breast Milk,,
1313,00:10:34 10-31-2021,00:20:34 10-31-2021,Right Breast,,,,10,Breast Milk,,
1312,21:01:54 10-30-2021,21:28:53 10-30-2021,Right Breast,,,,26,Breast Milk,,
1311,19:07:44 10-30-2021,19:16:44 10-30-2021,Left Breast,,,,9,Breast Milk,,
1310,16:17:34 10-30-2021,16:31:32 10-30-2021,Right Breast,,,,13,Breast Milk,,
1309,12:52:45 10-30-2021,13:01:45 10-30-2021,Right Breast,,,,9,Breast Milk,,
1308,11:12:25 10-30-2021,11:19:59 10-30-2021,Left Breast,,,,7,Breast Milk,,
1307,08:53:22 10-30-2021,09:00:02 10-30-2021,Right Breast,,,,6,Breast Milk,,
1305,05:12:43 10-30-2021,05:21:43 10-30-2021,Left Breast,,,,9,Breast Milk,,
1304,01:32:07 10-30-2021,01:50:22 10-30-2021,Left Breast,,,,18,Breast Milk,,
1303,20:58:53 10-29-2021,21:12:55 10-29-2021,Right Breast,,,,14,Breast Milk,,
1302,18:54:52 10-29-2021,19:03:52 10-29-2021,Left Breast,,,,9,Breast Milk,,
1301,17:23:07 10-29-2021,17:27:07 10-29-2021,Right Breast,,,,4,Breast Milk,,
1306,15:25:23 10-29-2021,15:30:23 10-29-2021,Bottle,3.00,88,,5,Liquid,IMPERIAL,Pump
1300,12:15:25 10-29-2021,12:30:25 10-29-2021,Bottle,3.00,88,,15,Liquid,IMPERIAL,Pump
1299,10:47:14 10-29-2021,11:00:14 10-29-2021,Bottle,3.00,88,,13,Liquid,IMPERIAL,Pump
1298,08:17:46 10-29-2021,08:35:46 10-29-2021,Bottle,2.50,73,,18,Liquid,IMPERIAL,Pump
1297,07:34:24 10-29-2021,07:40:49 10-29-2021,Right Breast,,,,6,Breast Milk,,
1296,05:53:20 10-29-2021,06:04:20 10-29-2021,Left Breast,,,,11,Breast Milk,,
1295,03:14:35 10-29-2021,04:02:58 10-29-2021,Right Breast,,,,48,Breast Milk,,
1294,23:34:30 10-28-2021,00:15:30 10-29-2021,Left Breast,,,,41,Breast Milk,,
1293,21:20:06 10-28-2021,21:55:06 10-28-2021,Left Breast,,,,35,Breast Milk,,
1287,20:18:37 10-28-2021,20:27:24 10-28-2021,Right Breast,,,,8,Breast Milk,,
1286,18:25:25 10-28-2021,18:45:25 10-28-2021,Left Breast,,,,20,Breast Milk,,
1285,17:38:50 10-28-2021,17:48:10 10-28-2021,Right Breast,,,,9,Breast Milk,,
1292,16:16:01 10-28-2021,16:30:01 10-28-2021,Bottle,3.00,88,,14,Liquid,IMPERIAL,Pump
1291,14:22:45 10-28-2021,14:30:45 10-28-2021,Bottle,1.50,44,,8,Liquid,IMPERIAL,Pump
1290,13:10:28 10-28-2021,13:20:28 10-28-2021,Bottle,1.50,44,,10,Liquid,IMPERIAL,Pump
1289,11:49:10 10-28-2021,12:00:10 10-28-2021,Bottle,3.00,88,,11,Liquid,IMPERIAL,Pump
1288,08:46:52 10-28-2021,08:57:52 10-28-2021,Bottle,3.00,88,,11,Liquid,IMPERIAL,Pump
1284,07:17:49 10-28-2021,07:56:09 10-28-2021,Right Breast,,,,38,Breast Milk,,
1283,06:00:41 10-28-2021,06:10:41 10-28-2021,Left Breast,,,,10,Breast Milk,,
1282,04:07:22 10-28-2021,04:22:22 10-28-2021,Right Breast,,,,15,Breast Milk,,
1281,22:05:59 10-27-2021,22:17:08 10-27-2021,Left Breast,,,,11,Breast Milk,,
1280,20:15:47 10-27-2021,20:25:47 10-27-2021,Right Breast,,,,10,Breast Milk,,
1279,19:34:17 10-27-2021,19:54:26 10-27-2021,Left Breast,,,,20,Breast Milk,,
1274,17:12:41 10-27-2021,17:21:41 10-27-2021,Right Breast,,,,9,Breast Milk,,
1278,16:26:56 10-27-2021,16:35:56 10-27-2021,Bottle,3.00,88,,9,Liquid,IMPERIAL,Pump
1277,14:47:37 10-27-2021,14:57:37 10-27-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1276,10:56:10 10-27-2021,11:06:10 10-27-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1275,08:18:49 10-27-2021,08:29:49 10-27-2021,Bottle,2.00,59,,11,Liquid,IMPERIAL,Pump
1273,06:30:49 10-27-2021,06:40:49 10-27-2021,Right Breast,,,,10,Breast Milk,,
1272,03:05:01 10-27-2021,03:24:43 10-27-2021,Left Breast,,,,19,Breast Milk,,
1271,02:47:47 10-27-2021,02:58:47 10-27-2021,Right Breast,,,,11,Breast Milk,,
1267,19:25:11 10-26-2021,19:44:11 10-26-2021,Bottle,2.50,73,,19,Liquid,IMPERIAL,Pump
1266,18:11:23 10-26-2021,18:22:13 10-26-2021,Left Breast,,,,10,Breast Milk,,
1265,17:31:23 10-26-2021,17:53:23 10-26-2021,Right Breast,,,,21,Breast Milk,,
1270,14:44:54 10-26-2021,15:22:54 10-26-2021,Bottle,3.00,88,,38,Liquid,IMPERIAL,Pump
1269,11:38:55 10-26-2021,11:59:55 10-26-2021,Bottle,2.00,59,,21,Liquid,IMPERIAL,Pump
1268,08:28:28 10-26-2021,08:46:28 10-26-2021,Bottle,1.50,44,,18,Liquid,IMPERIAL,Pump
1264,06:51:24 10-26-2021,07:10:24 10-26-2021,Right Breast,,,,19,Breast Milk,,
1263,05:15:16 10-26-2021,05:35:16 10-26-2021,Left Breast,,,,20,Breast Milk,,
1262,02:11:52 10-26-2021,02:23:17 10-26-2021,Right Breast,,,,11,Breast Milk,,
1261,02:04:20 10-26-2021,02:11:43 10-26-2021,Left Breast,,,,7,Breast Milk,,
1260,20:56:10 10-25-2021,21:25:18 10-25-2021,Left Breast,,,,29,Breast Milk,,
1259,20:15:21 10-25-2021,20:23:05 10-25-2021,Right Breast,,,,7,Breast Milk,,
1253,17:40:56 10-25-2021,17:53:53 10-25-2021,Right Breast,,,,12,Breast Milk,,
1258,15:10:39 10-25-2021,15:30:39 10-25-2021,Bottle,3.00,88,,20,Liquid,IMPERIAL,Pump
1257,13:39:28 10-25-2021,13:59:28 10-25-2021,Bottle,2.00,59,,20,Liquid,IMPERIAL,Pump
1256,10:00:56 10-25-2021,10:20:56 10-25-2021,Bottle,2.00,59,,20,Liquid,IMPERIAL,Pump
1255,08:43:23 10-25-2021,08:53:23 10-25-2021,Bottle,1.50,44,,10,Liquid,IMPERIAL,Pump
