pokedex_no,pokedex_link,img_link2,name,variant,type,type2,gen
13,/wiki/Weedle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/013Weedle.png/70px-013Weedle.png,Weedle,,Bug,Poison,1
14,/wiki/Kakuna_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f0/014Kakuna.png/70px-014Kakuna.png,Kakuna,,Bug,Poison,1
15,/wiki/Beedrill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/61/015Beedrill.png/70px-015Beedrill.png,Beedrill,,Bug,Poison,1
16,/wiki/Pidgey_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/55/016Pidgey.png/70px-016Pidgey.png,Pidgey,,Normal,Flying,1
17,/wiki/Pidgeotto_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7a/017Pidgeotto.png/70px-017Pidgeotto.png,Pidgeotto,,Normal,Flying,1
18,/wiki/Pidgeot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/57/018Pidgeot.png/70px-018Pidgeot.png,Pidgeot,,Normal,Flying,1
19,/wiki/Rattata_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/46/019Rattata.png/70px-019Rattata.png,Rattata,,Normal,Normal,1
NA,/wiki/Rattata_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/91/019Rattata-Alola.png/70px-019Rattata-Alola.png,Rattata,Alolan Form,Dark,Normal,1
20,/wiki/Raticate_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/020Raticate.png/70px-020Raticate.png,Raticate,,Normal,Normal,1
NA,/wiki/Raticate_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/020Raticate-Alola.png/70px-020Raticate-Alola.png,Raticate,Alolan Form,Dark,Normal,1
21,/wiki/Spearow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/021Spearow.png/70px-021Spearow.png,Spearow,,Normal,Flying,1
22,/wiki/Fearow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a0/022Fearow.png/70px-022Fearow.png,Fearow,,Normal,Flying,1
23,/wiki/Ekans_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fa/023Ekans.png/70px-023Ekans.png,Ekans,,Poison,Poison,1
24,/wiki/Arbok_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/024Arbok.png/70px-024Arbok.png,Arbok,,Poison,Poison,1
25,/wiki/Pikachu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0d/025Pikachu.png/70px-025Pikachu.png,Pikachu,,Electric,Electric,1
26,/wiki/Raichu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/88/026Raichu.png/70px-026Raichu.png,Raichu,,Electric,Electric,1
NA,/wiki/Raichu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3a/026Raichu-Alola.png/70px-026Raichu-Alola.png,Raichu,Alolan Form,Electric,Psychic,1
27,/wiki/Sandshrew_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9e/027Sandshrew.png/70px-027Sandshrew.png,Sandshrew,,Ground,Ground,1
NA,/wiki/Sandshrew_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c9/027Sandshrew-Alola.png/70px-027Sandshrew-Alola.png,Sandshrew,Alolan Form,Ice,Steel,1
28,/wiki/Sandslash_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0b/028Sandslash.png/70px-028Sandslash.png,Sandslash,,Ground,Ground,1
NA,/wiki/Sandslash_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bd/028Sandslash-Alola.png/70px-028Sandslash-Alola.png,Sandslash,Alolan Form,Ice,Steel,1
29,/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/81/029Nidoran.png/70px-029Nidoran.png,Nidoran♀,,Poison,Poison,1
30,/wiki/Nidorina_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/030Nidorina.png/70px-030Nidorina.png,Nidorina,,Poison,Poison,1
31,/wiki/Nidoqueen_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bf/031Nidoqueen.png/70px-031Nidoqueen.png,Nidoqueen,,Poison,Ground,1
32,/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4a/032Nidoran.png/70px-032Nidoran.png,Nidoran♂,,Poison,Poison,1
33,/wiki/Nidorino_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9f/033Nidorino.png/70px-033Nidorino.png,Nidorino,,Poison,Poison,1
34,/wiki/Nidoking_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c6/034Nidoking.png/70px-034Nidoking.png,Nidoking,,Poison,Ground,1
35,/wiki/Clefairy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/035Clefairy.png/70px-035Clefairy.png,Clefairy,,Fairy,Fairy,1
36,/wiki/Clefable_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a9/036Clefable.png/70px-036Clefable.png,Clefable,,Fairy,Fairy,1
37,/wiki/Vulpix_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/037Vulpix.png/70px-037Vulpix.png,Vulpix,,Fire,Fire,1
NA,/wiki/Vulpix_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/35/037Vulpix-Alola.png/70px-037Vulpix-Alola.png,Vulpix,Alolan Form,Ice,Ice,1
38,/wiki/Ninetales_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/05/038Ninetales.png/70px-038Ninetales.png,Ninetales,,Fire,Fire,1
NA,/wiki/Ninetales_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/26/038Ninetales-Alola.png/70px-038Ninetales-Alola.png,Ninetales,Alolan Form,Ice,Fairy,1
39,/wiki/Jigglypuff_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/039Jigglypuff.png/70px-039Jigglypuff.png,Jigglypuff,,Normal,Fairy,1
40,/wiki/Wigglytuff_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/92/040Wigglytuff.png/70px-040Wigglytuff.png,Wigglytuff,,Normal,Fairy,1
41,/wiki/Zubat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/041Zubat.png/70px-041Zubat.png,Zubat,,Poison,Flying,1
42,/wiki/Golbat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0c/042Golbat.png/70px-042Golbat.png,Golbat,,Poison,Flying,1
43,/wiki/Oddish_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/43/043Oddish.png/70px-043Oddish.png,Oddish,,Grass,Poison,1
44,/wiki/Gloom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2a/044Gloom.png/70px-044Gloom.png,Gloom,,Grass,Poison,1
45,/wiki/Vileplume_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6a/045Vileplume.png/70px-045Vileplume.png,Vileplume,,Grass,Poison,1
46,/wiki/Paras_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d4/046Paras.png/70px-046Paras.png,Paras,,Bug,Grass,1
47,/wiki/Parasect_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/80/047Parasect.png/70px-047Parasect.png,Parasect,,Bug,Grass,1
48,/wiki/Venonat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ad/048Venonat.png/70px-048Venonat.png,Venonat,,Bug,Poison,1
49,/wiki/Venomoth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d3/049Venomoth.png/70px-049Venomoth.png,Venomoth,,Bug,Poison,1
50,/wiki/Diglett_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/31/050Diglett.png/70px-050Diglett.png,Diglett,,Ground,Ground,1
NA,/wiki/Diglett_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/10/050Diglett-Alola.png/70px-050Diglett-Alola.png,Diglett,Alolan Form,Ground,Steel,1
51,/wiki/Dugtrio_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e5/051Dugtrio.png/70px-051Dugtrio.png,Dugtrio,,Ground,Ground,1
NA,/wiki/Dugtrio_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/22/051Dugtrio-Alola.png/70px-051Dugtrio-Alola.png,Dugtrio,Alolan Form,Ground,Steel,1
52,/wiki/Meowth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d6/052Meowth.png/70px-052Meowth.png,Meowth,,Normal,Normal,1
NA,/wiki/Meowth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e3/052Meowth-Alola.png/70px-052Meowth-Alola.png,Meowth,Alolan Form,Dark,Dark,1
NA,/wiki/Meowth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/09/052Meowth-Galar.png/70px-052Meowth-Galar.png,Meowth,Galarian Form,Steel,Steel,1
53,/wiki/Persian_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/13/053Persian.png/70px-053Persian.png,Persian,,Normal,Normal,1
NA,/wiki/Persian_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/80/053Persian-Alola.png/70px-053Persian-Alola.png,Persian,Alolan Form,Dark,Dark,1
54,/wiki/Psyduck_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/054Psyduck.png/70px-054Psyduck.png,Psyduck,,Water,Water,1
55,/wiki/Golduck_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fe/055Golduck.png/70px-055Golduck.png,Golduck,,Water,Water,1
56,/wiki/Mankey_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/41/056Mankey.png/70px-056Mankey.png,Mankey,,Fighting,Fighting,1
57,/wiki/Primeape_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9a/057Primeape.png/70px-057Primeape.png,Primeape,,Fighting,Fighting,1
58,/wiki/Growlithe_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3d/058Growlithe.png/70px-058Growlithe.png,Growlithe,,Fire,Fire,1
NA,/wiki/Growlithe_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a9/058Growlithe-Hisui.png/70px-058Growlithe-Hisui.png,Growlithe,Hisuian Form,Fire,Rock,1
59,/wiki/Arcanine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b8/059Arcanine.png/70px-059Arcanine.png,Arcanine,,Fire,Fire,1
NA,/wiki/Arcanine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/63/059Arcanine-Hisui.png/70px-059Arcanine-Hisui.png,Arcanine,Hisuian Form,Fire,Rock,1
60,/wiki/Poliwag_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/49/060Poliwag.png/70px-060Poliwag.png,Poliwag,,Water,Water,1
61,/wiki/Poliwhirl_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a9/061Poliwhirl.png/70px-061Poliwhirl.png,Poliwhirl,,Water,Water,1
62,/wiki/Poliwrath_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2d/062Poliwrath.png/70px-062Poliwrath.png,Poliwrath,,Water,Fighting,1
63,/wiki/Abra_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/62/063Abra.png/70px-063Abra.png,Abra,,Psychic,Psychic,1
64,/wiki/Kadabra_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/97/064Kadabra.png/70px-064Kadabra.png,Kadabra,,Psychic,Psychic,1
65,/wiki/Alakazam_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cc/065Alakazam.png/70px-065Alakazam.png,Alakazam,,Psychic,Psychic,1
66,/wiki/Machop_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/85/066Machop.png/70px-066Machop.png,Machop,,Fighting,Fighting,1
67,/wiki/Machoke_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/067Machoke.png/70px-067Machoke.png,Machoke,,Fighting,Fighting,1
68,/wiki/Machamp_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8f/068Machamp.png/70px-068Machamp.png,Machamp,,Fighting,Fighting,1
69,/wiki/Bellsprout_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a2/069Bellsprout.png/70px-069Bellsprout.png,Bellsprout,,Grass,Poison,1
70,/wiki/Weepinbell_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9f/070Weepinbell.png/70px-070Weepinbell.png,Weepinbell,,Grass,Poison,1
71,/wiki/Victreebel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/be/071Victreebel.png/70px-071Victreebel.png,Victreebel,,Grass,Poison,1
72,/wiki/Tentacool_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4e/072Tentacool.png/70px-072Tentacool.png,Tentacool,,Water,Poison,1
73,/wiki/Tentacruel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f6/073Tentacruel.png/70px-073Tentacruel.png,Tentacruel,,Water,Poison,1
74,/wiki/Geodude_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/98/074Geodude.png/70px-074Geodude.png,Geodude,,Rock,Ground,1
NA,/wiki/Geodude_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/43/074Geodude-Alola.png/70px-074Geodude-Alola.png,Geodude,Alolan Form,Rock,Electric,1
75,/wiki/Graveler_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/75/075Graveler.png/70px-075Graveler.png,Graveler,,Rock,Ground,1
NA,/wiki/Graveler_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/62/075Graveler-Alola.png/70px-075Graveler-Alola.png,Graveler,Alolan Form,Rock,Electric,1
76,/wiki/Golem_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f2/076Golem.png/70px-076Golem.png,Golem,,Rock,Ground,1
NA,/wiki/Golem_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/07/076Golem-Alola.png/70px-076Golem-Alola.png,Golem,Alolan Form,Rock,Electric,1
77,/wiki/Ponyta_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3b/077Ponyta.png/70px-077Ponyta.png,Ponyta,,Fire,Fire,1
NA,/wiki/Ponyta_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/92/077Ponyta-Galar.png/70px-077Ponyta-Galar.png,Ponyta,Galarian Form,Psychic,Psychic,1
78,/wiki/Rapidash_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3f/078Rapidash.png/70px-078Rapidash.png,Rapidash,,Fire,Fire,1
NA,/wiki/Rapidash_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e0/078Rapidash-Galar.png/70px-078Rapidash-Galar.png,Rapidash,Galarian Form,Psychic,Fairy,1
79,/wiki/Slowpoke_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/70/079Slowpoke.png/70px-079Slowpoke.png,Slowpoke,,Water,Psychic,1
NA,/wiki/Slowpoke_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9f/079Slowpoke-Galar.png/70px-079Slowpoke-Galar.png,Slowpoke,Galarian Form,Psychic,Psychic,1
80,/wiki/Slowbro_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/80/080Slowbro.png/70px-080Slowbro.png,Slowbro,,Water,Psychic,1
NA,/wiki/Slowbro_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/080Slowbro-Galar.png/70px-080Slowbro-Galar.png,Slowbro,Galarian Form,Poison,Psychic,1
81,/wiki/Magnemite_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6c/081Magnemite.png/70px-081Magnemite.png,Magnemite,,Electric,Steel,1
82,/wiki/Magneton_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/72/082Magneton.png/70px-082Magneton.png,Magneton,,Electric,Steel,1
83,/wiki/Farfetch%27d_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f8/083Farfetch%27d.png/70px-083Farfetch%27d.png,Farfetch'd,,Normal,Flying,1
NA,/wiki/Farfetch%27d_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7d/083Farfetch%27d-Galar.png/70px-083Farfetch%27d-Galar.png,Farfetch'd,Galarian Form,Fighting,Fighting,1
84,/wiki/Doduo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/54/084Doduo.png/70px-084Doduo.png,Doduo,,Normal,Flying,1
85,/wiki/Dodrio_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/93/085Dodrio.png/70px-085Dodrio.png,Dodrio,,Normal,Flying,1
86,/wiki/Seel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1f/086Seel.png/70px-086Seel.png,Seel,,Water,Water,1
87,/wiki/Dewgong_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c7/087Dewgong.png/70px-087Dewgong.png,Dewgong,,Water,Ice,1
88,/wiki/Grimer_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a0/088Grimer.png/70px-088Grimer.png,Grimer,,Poison,Poison,1
NA,/wiki/Grimer_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e0/088Grimer-Alola.png/70px-088Grimer-Alola.png,Grimer,Alolan Form,Poison,Dark,1
89,/wiki/Muk_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7c/089Muk.png/70px-089Muk.png,Muk,,Poison,Poison,1
NA,/wiki/Muk_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/15/089Muk-Alola.png/70px-089Muk-Alola.png,Muk,Alolan Form,Poison,Dark,1
90,/wiki/Shellder_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/40/090Shellder.png/70px-090Shellder.png,Shellder,,Water,Water,1
91,/wiki/Cloyster_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1d/091Cloyster.png/70px-091Cloyster.png,Cloyster,,Water,Ice,1
92,/wiki/Gastly_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/ca/092Gastly.png/70px-092Gastly.png,Gastly,,Ghost,Poison,1
93,/wiki/Haunter_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/62/093Haunter.png/70px-093Haunter.png,Haunter,,Ghost,Poison,1
94,/wiki/Gengar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c6/094Gengar.png/70px-094Gengar.png,Gengar,,Ghost,Poison,1
95,/wiki/Onix_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9a/095Onix.png/70px-095Onix.png,Onix,,Rock,Ground,1
96,/wiki/Drowzee_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/096Drowzee.png/70px-096Drowzee.png,Drowzee,,Psychic,Psychic,1
97,/wiki/Hypno_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0a/097Hypno.png/70px-097Hypno.png,Hypno,,Psychic,Psychic,1
98,/wiki/Krabby_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a7/098Krabby.png/70px-098Krabby.png,Krabby,,Water,Water,1
99,/wiki/Kingler_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/099Kingler.png/70px-099Kingler.png,Kingler,,Water,Water,1
100,/wiki/Voltorb_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/100Voltorb.png/70px-100Voltorb.png,Voltorb,,Electric,Electric,1
NA,/wiki/Voltorb_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/ff/100Voltorb-Hisui.png/70px-100Voltorb-Hisui.png,Voltorb,Hisuian Form,Electric,Grass,1
101,/wiki/Electrode_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/84/101Electrode.png/70px-101Electrode.png,Electrode,,Electric,Electric,1
NA,/wiki/Electrode_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b2/101Electrode-Hisui.png/70px-101Electrode-Hisui.png,Electrode,Hisuian Form,Electric,Grass,1
102,/wiki/Exeggcute_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/af/102Exeggcute.png/70px-102Exeggcute.png,Exeggcute,,Grass,Psychic,1
103,/wiki/Exeggutor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/24/103Exeggutor.png/70px-103Exeggutor.png,Exeggutor,,Grass,Psychic,1
NA,/wiki/Exeggutor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/74/103Exeggutor-Alola.png/70px-103Exeggutor-Alola.png,Exeggutor,Alolan Form,Grass,Dragon,1
104,/wiki/Cubone_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2a/104Cubone.png/70px-104Cubone.png,Cubone,,Ground,Ground,1
105,/wiki/Marowak_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/98/105Marowak.png/70px-105Marowak.png,Marowak,,Ground,Ground,1
NA,/wiki/Marowak_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/06/105Marowak-Alola.png/70px-105Marowak-Alola.png,Marowak,Alolan Form,Fire,Ghost,1
106,/wiki/Hitmonlee_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/32/106Hitmonlee.png/70px-106Hitmonlee.png,Hitmonlee,,Fighting,Fighting,1
107,/wiki/Hitmonchan_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a3/107Hitmonchan.png/70px-107Hitmonchan.png,Hitmonchan,,Fighting,Fighting,1
108,/wiki/Lickitung_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/00/108Lickitung.png/70px-108Lickitung.png,Lickitung,,Normal,Normal,1
109,/wiki/Koffing_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/17/109Koffing.png/70px-109Koffing.png,Koffing,,Poison,Poison,1
110,/wiki/Weezing_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/42/110Weezing.png/70px-110Weezing.png,Weezing,,Poison,Poison,1
NA,/wiki/Weezing_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/38/110Weezing-Galar.png/70px-110Weezing-Galar.png,Weezing,Galarian Form,Poison,Fairy,1
111,/wiki/Rhyhorn_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9b/111Rhyhorn.png/70px-111Rhyhorn.png,Rhyhorn,,Ground,Rock,1
112,/wiki/Rhydon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/112Rhydon.png/70px-112Rhydon.png,Rhydon,,Ground,Rock,1
113,/wiki/Chansey_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/113Chansey.png/70px-113Chansey.png,Chansey,,Normal,Normal,1
114,/wiki/Tangela_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/114Tangela.png/70px-114Tangela.png,Tangela,,Grass,Grass,1
115,/wiki/Kangaskhan_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4e/115Kangaskhan.png/70px-115Kangaskhan.png,Kangaskhan,,Normal,Normal,1
116,/wiki/Horsea_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5a/116Horsea.png/70px-116Horsea.png,Horsea,,Water,Water,1
117,/wiki/Seadra_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/26/117Seadra.png/70px-117Seadra.png,Seadra,,Water,Water,1
118,/wiki/Goldeen_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7b/118Goldeen.png/70px-118Goldeen.png,Goldeen,,Water,Water,1
119,/wiki/Seaking_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6a/119Seaking.png/70px-119Seaking.png,Seaking,,Water,Water,1
120,/wiki/Staryu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4f/120Staryu.png/70px-120Staryu.png,Staryu,,Water,Water,1
121,/wiki/Starmie_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/121Starmie.png/70px-121Starmie.png,Starmie,,Water,Psychic,1
