id,Start,End,Type,Quantity (oz),Quantity (ml or g)
438,14:59:34 08-30-2021,15:05:46 08-30-2021,Breast,NA,NA
437,12:59:49 08-30-2021,13:09:17 08-30-2021,Breast,NA,NA
436,12:36:07 08-30-2021,12:41:01 08-30-2021,Breast,NA,NA
435,11:43:33 08-30-2021,11:50:55 08-30-2021,Breast,NA,NA
434,11:10:26 08-30-2021,11:17:39 08-30-2021,Breast,NA,NA
433,10:41:15 08-30-2021,10:52:43 08-30-2021,Breast,NA,NA
432,08:53:55 08-30-2021,09:11:40 08-30-2021,Breast,NA,NA
431,07:32:45 08-30-2021,07:34:26 08-30-2021,Breast,NA,NA
430,06:20:53 08-30-2021,06:25:54 08-30-2021,Breast,NA,NA
429,05:59:14 08-30-2021,06:15:06 08-30-2021,Breast,NA,NA
428,03:23:31 08-30-2021,03:43:52 08-30-2021,Breast,NA,NA
427,22:54:20 08-29-2021,23:08:49 08-29-2021,Breast,NA,NA
426,22:22:08 08-29-2021,22:45:45 08-29-2021,Breast,NA,NA
425,21:51:51 08-29-2021,21:58:55 08-29-2021,Breast,NA,NA
424,20:19:30 08-29-2021,20:27:04 08-29-2021,Breast,NA,NA
423,20:00:06 08-29-2021,20:15:23 08-29-2021,Breast,NA,NA
422,19:41:54 08-29-2021,19:50:50 08-29-2021,Breast,NA,NA
421,16:50:47 08-29-2021,17:03:04 08-29-2021,Breast,NA,NA
420,16:27:56 08-29-2021,16:37:46 08-29-2021,Breast,NA,NA
419,15:26:27 08-29-2021,15:33:22 08-29-2021,Breast,NA,NA
418,14:38:50 08-29-2021,14:42:30 08-29-2021,Breast,NA,NA
417,13:54:12 08-29-2021,14:11:15 08-29-2021,Breast,NA,NA
416,11:32:32 08-29-2021,11:41:10 08-29-2021,Breast,NA,NA
415,11:17:33 08-29-2021,11:32:32 08-29-2021,Breast,NA,NA
414,09:18:49 08-29-2021,09:27:35 08-29-2021,Breast,NA,NA
413,08:13:17 08-29-2021,08:30:47 08-29-2021,Breast,NA,NA
411,05:36:03 08-29-2021,05:55:38 08-29-2021,Breast,NA,NA
410,05:25:08 08-29-2021,05:29:36 08-29-2021,Breast,NA,NA
409,02:30:04 08-29-2021,02:44:04 08-29-2021,Breast,NA,NA
408,02:01:52 08-29-2021,02:14:11 08-29-2021,Breast,NA,NA
407,23:41:30 08-28-2021,23:52:29 08-28-2021,Breast,NA,NA
406,21:07:06 08-28-2021,21:21:24 08-28-2021,Breast,NA,NA
405,20:05:15 08-28-2021,20:09:55 08-28-2021,Breast,NA,NA
404,19:28:09 08-28-2021,19:40:47 08-28-2021,Breast,NA,NA
403,19:12:47 08-28-2021,19:21:13 08-28-2021,Breast,NA,NA
402,16:32:23 08-28-2021,16:47:30 08-28-2021,Breast,NA,NA
401,15:11:00 08-28-2021,15:18:36 08-28-2021,Breast,NA,NA
400,14:44:04 08-28-2021,14:59:24 08-28-2021,Breast,NA,NA
399,11:51:54 08-28-2021,12:07:12 08-28-2021,Breast,NA,NA
398,11:28:36 08-28-2021,11:41:39 08-28-2021,Breast,NA,NA
397,09:05:08 08-28-2021,09:07:38 08-28-2021,Breast,NA,NA
396,08:22:09 08-28-2021,08:27:57 08-28-2021,Breast,NA,NA
395,07:59:06 08-28-2021,08:06:38 08-28-2021,Breast,NA,NA
394,07:52:12 08-28-2021,07:57:00 08-28-2021,Breast,NA,NA
393,04:54:41 08-28-2021,05:02:53 08-28-2021,Breast,NA,NA
392,04:28:28 08-28-2021,04:35:47 08-28-2021,Breast,NA,NA
391,01:45:20 08-28-2021,01:52:53 08-28-2021,Breast,NA,NA
390,22:25:50 08-27-2021,22:29:49 08-27-2021,Breast,NA,NA
389,22:16:45 08-27-2021,22:22:51 08-27-2021,Breast,NA,NA
388,22:01:44 08-27-2021,22:11:06 08-27-2021,Bottle,1.5,44
387,20:30:57 08-27-2021,20:59:57 08-27-2021,Breast,NA,NA
386,19:36:27 08-27-2021,19:56:42 08-27-2021,Breast,NA,NA
385,19:12:47 08-27-2021,19:21:55 08-27-2021,Breast,NA,NA
384,18:05:15 08-27-2021,18:06:33 08-27-2021,Breast,NA,NA
383,17:03:13 08-27-2021,17:17:27 08-27-2021,Breast,NA,NA
382,16:20:59 08-27-2021,16:40:59 08-27-2021,Breast,NA,NA
381,14:46:01 08-27-2021,15:04:52 08-27-2021,Breast,NA,NA
380,14:15:15 08-27-2021,14:19:45 08-27-2021,Breast,NA,NA
379,12:17:17 08-27-2021,12:24:01 08-27-2021,Breast,NA,NA
378,10:00:20 08-27-2021,10:13:20 08-27-2021,Breast,NA,NA
377,07:24:14 08-27-2021,07:38:31 08-27-2021,Breast,NA,NA
376,06:45:13 08-27-2021,06:55:25 08-27-2021,Breast,NA,NA
375,05:48:44 08-27-2021,06:16:25 08-27-2021,Breast,NA,NA
373,03:27:08 08-27-2021,03:33:37 08-27-2021,Breast,NA,NA
372,02:34:44 08-27-2021,02:48:13 08-27-2021,Breast,NA,NA
371,02:28:36 08-27-2021,02:33:39 08-27-2021,Breast,NA,NA
370,00:40:14 08-27-2021,01:33:13 08-27-2021,Breast,NA,NA
369,21:33:38 08-26-2021,21:57:10 08-26-2021,Breast,NA,NA
368,21:06:09 08-26-2021,21:18:01 08-26-2021,Breast,NA,NA
367,20:34:20 08-26-2021,20:45:21 08-26-2021,Breast,NA,NA
366,19:11:40 08-26-2021,19:37:23 08-26-2021,Breast,NA,NA
365,17:34:00 08-26-2021,18:11:29 08-26-2021,Breast,NA,NA
364,14:46:07 08-26-2021,14:50:40 08-26-2021,Breast,NA,NA
363,14:42:21 08-26-2021,14:46:01 08-26-2021,Breast,NA,NA
362,14:19:50 08-26-2021,14:33:44 08-26-2021,Breast,NA,NA
361,11:34:30 08-26-2021,11:38:32 08-26-2021,Breast,NA,NA
360,11:06:07 08-26-2021,11:25:29 08-26-2021,Breast,NA,NA
359,09:20:15 08-26-2021,09:53:01 08-26-2021,Breast,NA,NA
358,08:58:44 08-26-2021,09:06:58 08-26-2021,Breast,NA,NA
357,08:17:31 08-26-2021,08:25:11 08-26-2021,Breast,NA,NA
356,05:30:18 08-26-2021,05:30:55 08-26-2021,Breast,NA,NA
355,05:23:29 08-26-2021,05:30:17 08-26-2021,Breast,NA,NA
354,02:40:42 08-26-2021,03:01:27 08-26-2021,Breast,NA,NA
353,00:14:05 08-26-2021,01:20:07 08-26-2021,Breast,NA,NA
352,22:44:00 08-25-2021,22:53:00 08-25-2021,Breast,NA,NA
351,22:17:23 08-25-2021,22:25:45 08-25-2021,Breast,NA,NA
350,22:07:14 08-25-2021,22:16:14 08-25-2021,Breast,NA,NA
349,19:52:33 08-25-2021,19:56:33 08-25-2021,Breast,NA,NA
348,19:44:53 08-25-2021,19:51:20 08-25-2021,Breast,NA,NA
347,16:48:19 08-25-2021,16:58:43 08-25-2021,Breast,NA,NA
346,15:47:49 08-25-2021,15:55:28 08-25-2021,Breast,NA,NA
345,15:25:40 08-25-2021,15:47:48 08-25-2021,Breast,NA,NA
344,11:36:51 08-25-2021,11:40:51 08-25-2021,Breast,NA,NA
343,11:00:01 08-25-2021,11:04:09 08-25-2021,Breast,NA,NA
342,10:28:28 08-25-2021,10:34:54 08-25-2021,Breast,NA,NA
341,09:39:35 08-25-2021,09:47:32 08-25-2021,Breast,NA,NA
340,08:55:43 08-25-2021,09:05:07 08-25-2021,Breast,NA,NA
338,07:30:06 08-25-2021,07:43:28 08-25-2021,Breast,NA,NA
339,07:23:06 08-25-2021,07:30:08 08-25-2021,Bottle,0.5,14
337,07:05:00 08-25-2021,07:14:02 08-25-2021,Bottle,1,29
336,04:44:24 08-25-2021,05:04:54 08-25-2021,Breast,NA,NA
335,03:02:12 08-25-2021,03:14:03 08-25-2021,Breast,NA,NA
334,23:48:21 08-24-2021,23:53:57 08-24-2021,Breast,NA,NA
333,21:30:29 08-24-2021,21:50:48 08-24-2021,Breast,NA,NA
332,21:24:18 08-24-2021,21:29:18 08-24-2021,Breast,NA,NA
331,20:49:06 08-24-2021,20:54:40 08-24-2021,Breast,NA,NA
330,20:34:24 08-24-2021,20:46:01 08-24-2021,Breast,NA,NA
329,18:58:16 08-24-2021,19:07:55 08-24-2021,Breast,NA,NA
328,18:25:24 08-24-2021,18:44:15 08-24-2021,Breast,NA,NA
327,14:54:57 08-24-2021,15:12:43 08-24-2021,Breast,NA,NA
326,11:27:03 08-24-2021,11:35:07 08-24-2021,Breast,NA,NA
325,11:05:06 08-24-2021,11:19:06 08-24-2021,Breast,NA,NA
324,10:51:57 08-24-2021,11:00:31 08-24-2021,Breast,NA,NA
323,09:07:54 08-24-2021,09:22:34 08-24-2021,Breast,NA,NA
322,07:49:22 08-24-2021,08:06:30 08-24-2021,Breast,NA,NA
321,04:45:24 08-24-2021,05:14:05 08-24-2021,Breast,NA,NA
320,01:39:44 08-24-2021,01:43:46 08-24-2021,Breast,NA,NA
319,01:29:50 08-24-2021,01:36:54 08-24-2021,Breast,NA,NA
318,22:39:13 08-23-2021,22:48:00 08-23-2021,Breast,NA,NA
317,20:52:15 08-23-2021,20:54:23 08-23-2021,Breast,NA,NA
316,20:35:03 08-23-2021,20:40:03 08-23-2021,Breast,NA,NA
315,19:00:16 08-23-2021,19:11:27 08-23-2021,Breast,NA,NA
314,16:48:41 08-23-2021,16:51:01 08-23-2021,Breast,NA,NA
313,16:31:01 08-23-2021,16:39:41 08-23-2021,Breast,NA,NA
312,14:23:45 08-23-2021,14:37:12 08-23-2021,Breast,NA,NA
311,13:42:54 08-23-2021,13:50:34 08-23-2021,Breast,NA,NA
310,13:34:32 08-23-2021,13:40:11 08-23-2021,Breast,NA,NA
309,13:12:56 08-23-2021,13:15:53 08-23-2021,Breast,NA,NA
308,11:24:20 08-23-2021,11:28:05 08-23-2021,Breast,NA,NA
307,11:02:50 08-23-2021,11:11:38 08-23-2021,Breast,NA,NA
306,10:42:22 08-23-2021,10:45:55 08-23-2021,Breast,NA,NA
305,08:31:41 08-23-2021,08:57:16 08-23-2021,Breast,NA,NA
304,04:28:23 08-23-2021,04:33:25 08-23-2021,Breast,NA,NA
303,03:36:33 08-23-2021,03:58:33 08-23-2021,Breast,NA,NA
302,00:38:12 08-23-2021,00:45:00 08-23-2021,Breast,NA,NA
301,00:21:18 08-23-2021,00:27:33 08-23-2021,Breast,NA,NA
300,22:25:24 08-22-2021,22:32:35 08-22-2021,Breast,NA,NA
299,21:25:15 08-22-2021,21:35:37 08-22-2021,Breast,NA,NA
298,19:39:39 08-22-2021,19:43:40 08-22-2021,Breast,NA,NA
297,19:02:16 08-22-2021,19:10:24 08-22-2021,Breast,NA,NA
296,16:07:10 08-22-2021,16:20:43 08-22-2021,Breast,NA,NA
295,15:18:52 08-22-2021,15:28:03 08-22-2021,Breast,NA,NA
294,12:14:20 08-22-2021,12:30:06 08-22-2021,Breast,NA,NA
293,11:19:01 08-22-2021,11:28:27 08-22-2021,Breast,NA,NA
292,10:44:36 08-22-2021,10:49:48 08-22-2021,Breast,NA,NA
291,10:21:03 08-22-2021,10:44:32 08-22-2021,Breast,NA,NA
290,10:03:21 08-22-2021,10:07:21 08-22-2021,Breast,NA,NA
288,07:18:39 08-22-2021,07:29:25 08-22-2021,Breast,NA,NA
289,06:30:27 08-22-2021,06:45:27 08-22-2021,Breast,NA,NA
287,04:06:17 08-22-2021,04:16:38 08-22-2021,Breast,NA,NA
286,03:26:10 08-22-2021,03:32:18 08-22-2021,Breast,NA,NA
285,23:01:19 08-21-2021,23:06:20 08-21-2021,Breast,NA,NA
284,22:49:56 08-21-2021,22:58:27 08-21-2021,Breast,NA,NA
283,20:29:04 08-21-2021,20:38:04 08-21-2021,Bottle,1.5,44
282,20:05:52 08-21-2021,20:17:09 08-21-2021,Breast,NA,NA
281,19:03:50 08-21-2021,19:17:44 08-21-2021,Breast,NA,NA
280,15:52:39 08-21-2021,16:01:24 08-21-2021,Breast,NA,NA
279,15:47:36 08-21-2021,15:50:20 08-21-2021,Breast,NA,NA
278,12:31:36 08-21-2021,12:36:15 08-21-2021,Breast,NA,NA
277,12:05:22 08-21-2021,12:11:01 08-21-2021,Breast,NA,NA
276,10:54:48 08-21-2021,11:15:36 08-21-2021,Breast,NA,NA
275,08:28:55 08-21-2021,08:32:22 08-21-2021,Breast,NA,NA
274,07:52:51 08-21-2021,07:58:58 08-21-2021,Breast,NA,NA
273,06:05:22 08-21-2021,06:17:06 08-21-2021,Breast,NA,NA
272,04:24:06 08-21-2021,04:29:58 08-21-2021,Breast,NA,NA
271,03:53:54 08-21-2021,04:02:52 08-21-2021,Breast,NA,NA
270,03:35:25 08-21-2021,03:40:42 08-21-2021,Breast,NA,NA
267,22:16:10 08-20-2021,22:24:40 08-20-2021,Breast,NA,NA
266,22:02:32 08-20-2021,22:14:30 08-20-2021,Breast,NA,NA
268,20:00:51 08-20-2021,20:15:51 08-20-2021,Bottle,1.5,44
265,19:27:36 08-20-2021,19:38:58 08-20-2021,Breast,NA,NA
264,19:06:58 08-20-2021,19:19:35 08-20-2021,Breast,NA,NA
263,15:28:07 08-20-2021,15:52:18 08-20-2021,Breast,NA,NA
262,14:41:40 08-20-2021,14:58:51 08-20-2021,Breast,NA,NA
261,14:35:09 08-20-2021,14:40:21 08-20-2021,Breast,NA,NA
260,12:40:02 08-20-2021,12:52:34 08-20-2021,Breast,NA,NA
259,10:48:55 08-20-2021,10:57:45 08-20-2021,Breast,NA,NA
258,09:55:59 08-20-2021,09:59:22 08-20-2021,Breast,NA,NA
257,08:42:12 08-20-2021,09:00:04 08-20-2021,Breast,NA,NA
256,05:54:35 08-20-2021,05:56:25 08-20-2021,Breast,NA,NA
255,05:17:57 08-20-2021,05:30:44 08-20-2021,Breast,NA,NA
254,04:54:04 08-20-2021,05:07:37 08-20-2021,Breast,NA,NA
253,01:46:31 08-20-2021,01:50:31 08-20-2021,Breast,NA,NA
252,23:27:55 08-19-2021,23:48:30 08-19-2021,Breast,NA,NA
251,23:05:45 08-19-2021,23:16:12 08-19-2021,Breast,NA,NA
250,21:37:02 08-19-2021,21:46:35 08-19-2021,Breast,NA,NA
249,20:35:30 08-19-2021,20:43:45 08-19-2021,Breast,NA,NA
248,17:37:53 08-19-2021,17:53:55 08-19-2021,Breast,NA,NA
247,16:07:58 08-19-2021,16:22:46 08-19-2021,Breast,NA,NA
246,14:17:15 08-19-2021,14:24:03 08-19-2021,Breast,NA,NA
245,12:15:43 08-19-2021,12:31:36 08-19-2021,Breast,NA,NA
244,11:33:22 08-19-2021,11:42:57 08-19-2021,Bottle,1.5,44
243,10:51:32 08-19-2021,10:55:46 08-19-2021,Bottle,1.5,44
242,09:16:06 08-19-2021,09:20:38 08-19-2021,Breast,NA,NA
241,08:46:52 08-19-2021,08:58:47 08-19-2021,Breast,NA,NA
240,08:23:31 08-19-2021,08:29:05 08-19-2021,Breast,NA,NA
239,07:42:47 08-19-2021,07:48:47 08-19-2021,Breast,NA,NA
238,04:04:18 08-19-2021,04:15:45 08-19-2021,Breast,NA,NA
237,03:42:44 08-19-2021,03:51:34 08-19-2021,Breast,NA,NA
236,01:18:43 08-19-2021,01:35:33 08-19-2021,Breast,NA,NA
235,23:32:45 08-18-2021,23:50:22 08-18-2021,Bottle,1.5,44
234,23:16:07 08-18-2021,23:32:32 08-18-2021,Breast,NA,NA
233,22:29:57 08-18-2021,22:40:03 08-18-2021,Breast,NA,NA
232,22:08:31 08-18-2021,22:20:22 08-18-2021,Breast,NA,NA
231,21:36:43 08-18-2021,21:43:55 08-18-2021,Breast,NA,NA
230,20:40:49 08-18-2021,20:45:34 08-18-2021,Breast,NA,NA
229,19:02:27 08-18-2021,19:15:49 08-18-2021,Breast,NA,NA
228,18:20:13 08-18-2021,18:33:20 08-18-2021,Breast,NA,NA
227,16:03:43 08-18-2021,16:16:54 08-18-2021,Breast,NA,NA
226,14:51:58 08-18-2021,15:02:05 08-18-2021,Breast,NA,NA
225,14:10:21 08-18-2021,14:23:55 08-18-2021,Breast,NA,NA
224,11:59:36 08-18-2021,12:32:16 08-18-2021,Breast,NA,NA
223,11:36:11 08-18-2021,11:49:27 08-18-2021,Breast,NA,NA
222,10:56:33 08-18-2021,11:05:48 08-18-2021,Breast,NA,NA
221,10:48:59 08-18-2021,10:52:29 08-18-2021,Breast,NA,NA
220,08:58:33 08-18-2021,09:08:25 08-18-2021,Breast,NA,NA
219,06:47:02 08-18-2021,06:53:51 08-18-2021,Breast,NA,NA
218,06:34:29 08-18-2021,06:41:13 08-18-2021,Breast,NA,NA
217,06:12:43 08-18-2021,06:17:48 08-18-2021,Breast,NA,NA
216,02:29:38 08-18-2021,02:33:24 08-18-2021,Breast,NA,NA
215,01:39:50 08-18-2021,01:43:17 08-18-2021,Breast,NA,NA
214,01:21:11 08-18-2021,01:32:49 08-18-2021,Breast,NA,NA
213,23:47:26 08-17-2021,23:53:29 08-17-2021,Breast,NA,NA
212,22:59:20 08-17-2021,23:10:24 08-17-2021,Breast,NA,NA
211,20:36:35 08-17-2021,20:41:43 08-17-2021,Breast,NA,NA
210,19:43:28 08-17-2021,19:49:56 08-17-2021,Breast,NA,NA
209,19:27:28 08-17-2021,19:36:12 08-17-2021,Breast,NA,NA
208,16:18:56 08-17-2021,16:36:33 08-17-2021,Breast,NA,NA
207,15:09:22 08-17-2021,15:18:22 08-17-2021,Breast,NA,NA
206,13:18:56 08-17-2021,14:02:38 08-17-2021,Breast,NA,NA
205,12:55:24 08-17-2021,13:01:24 08-17-2021,Breast,NA,NA
204,12:37:42 08-17-2021,12:43:43 08-17-2021,Breast,NA,NA
203,12:07:03 08-17-2021,12:18:59 08-17-2021,Breast,NA,NA
202,10:11:38 08-17-2021,10:17:45 08-17-2021,Breast,NA,NA
201,09:47:55 08-17-2021,09:51:52 08-17-2021,Breast,NA,NA
200,07:42:08 08-17-2021,07:44:54 08-17-2021,Breast,NA,NA
199,07:02:13 08-17-2021,07:10:15 08-17-2021,Breast,NA,NA
198,04:03:21 08-17-2021,04:09:24 08-17-2021,Breast,NA,NA
197,03:19:41 08-17-2021,03:34:06 08-17-2021,Breast,NA,NA
196,23:47:50 08-16-2021,23:56:50 08-16-2021,Breast,NA,NA
195,22:00:40 08-16-2021,22:12:22 08-16-2021,Breast,NA,NA
194,20:15:05 08-16-2021,20:25:05 08-16-2021,Breast,NA,NA
193,18:00:22 08-16-2021,18:11:20 08-16-2021,Breast,NA,NA
192,14:50:44 08-16-2021,14:59:44 08-16-2021,Breast,NA,NA
191,13:59:53 08-16-2021,14:05:10 08-16-2021,Breast,NA,NA
190,12:16:30 08-16-2021,12:26:29 08-16-2021,Breast,NA,NA
189,11:44:06 08-16-2021,11:50:53 08-16-2021,Breast,NA,NA
188,11:20:35 08-16-2021,11:33:08 08-16-2021,Breast,NA,NA
187,09:18:08 08-16-2021,09:23:23 08-16-2021,Breast,NA,NA
186,08:56:39 08-16-2021,09:05:45 08-16-2021,Breast,NA,NA
185,06:02:29 08-16-2021,06:12:38 08-16-2021,Breast,NA,NA
183,03:13:54 08-16-2021,03:25:49 08-16-2021,Breast,NA,NA
182,03:01:21 08-16-2021,03:13:50 08-16-2021,Breast,NA,NA
181,00:28:37 08-16-2021,00:36:01 08-16-2021,Bottle,0.5,14
180,00:17:39 08-16-2021,00:21:57 08-16-2021,Bottle,0.5,14
179,00:08:00 08-16-2021,00:12:19 08-16-2021,Bottle,0.5,14
184,23:46:56 08-15-2021,23:59:02 08-15-2021,Breast,NA,NA
178,20:44:50 08-15-2021,20:51:11 08-15-2021,Breast,NA,NA
177,19:04:20 08-15-2021,19:08:36 08-15-2021,Breast,NA,NA
176,18:34:37 08-15-2021,18:41:47 08-15-2021,Breast,NA,NA
175,15:42:07 08-15-2021,16:00:56 08-15-2021,Breast,NA,NA
174,15:13:51 08-15-2021,15:20:12 08-15-2021,Breast,NA,NA
173,15:00:35 08-15-2021,15:05:35 08-15-2021,Breast,NA,NA
172,14:20:23 08-15-2021,14:30:23 08-15-2021,Breast,NA,NA
171,11:48:02 08-15-2021,12:02:38 08-15-2021,Breast,NA,NA
170,11:13:23 08-15-2021,11:26:12 08-15-2021,Breast,NA,NA
