gen,pokedex_no,img_link,name,variant,type,total,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg
1,19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,Alolan,"Dark,Normal",253,30,56,35,25,35,72,Mouse Pokémon,0.3,3.5
1,20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,NA,Normal,413,55,81,60,50,70,97,Mouse Pokémon,0.7,18.5
1,20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,NA,Normal,413,55,81,60,50,70,97,Mouse Pokémon,0.7,18.5
1,20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,Alolan,"Dark,Normal",413,75,71,70,40,80,77,Mouse Pokémon,0.7,18.5
1,20,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,Alolan,"Dark,Normal",413,75,71,70,40,80,77,Mouse Pokémon,0.7,18.5
1,21,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,NA,"Normal,Flying",262,40,60,30,31,31,70,Tiny Bird Pokémon,0.3,2
1,22,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,NA,"Normal,Flying",442,65,90,65,61,61,100,Beak Pokémon,1.2,38
1,23,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,NA,Poison,288,35,60,44,40,54,55,Snake Pokémon,2,6.9
1,24,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Arbok,NA,Poison,448,60,95,69,65,79,80,Cobra Pokémon,3.5,65
1,25,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Pikachu,NA,Electric,320,35,55,40,50,50,90,Mouse Pokémon,0.4,6
1,25,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,Pikachu,Partner,Electric,430,45,80,50,75,60,120,Mouse Pokémon,0.4,6
1,26,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Raichu,NA,Electric,485,60,90,55,90,80,110,Mouse Pokémon,0.8,30
1,26,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Raichu,NA,Electric,485,60,90,55,90,80,110,Mouse Pokémon,0.8,30
1,26,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,Alolan,"Electric,Psychic",485,60,85,50,95,85,110,Mouse Pokémon,0.8,30
1,26,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,Alolan,"Electric,Psychic",485,60,85,50,95,85,110,Mouse Pokémon,0.8,30
1,27,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Sandshrew,NA,Ground,300,50,75,85,20,30,40,Mouse Pokémon,0.6,12
1,27,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Sandshrew,NA,Ground,300,50,75,85,20,30,40,Mouse Pokémon,0.6,12
1,27,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,Alolan,"Ice,Steel",300,50,75,90,10,35,40,Mouse Pokémon,0.6,12
1,27,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,Alolan,"Ice,Steel",300,50,75,90,10,35,40,Mouse Pokémon,0.6,12
1,28,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Sandslash,NA,Ground,450,75,100,110,45,55,65,Mouse Pokémon,1,29.5
1,28,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Sandslash,NA,Ground,450,75,100,110,45,55,65,Mouse Pokémon,1,29.5
1,28,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,Alolan,"Ice,Steel",450,75,100,120,25,65,65,Mouse Pokémon,1,29.5
1,28,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,Alolan,"Ice,Steel",450,75,100,120,25,65,65,Mouse Pokémon,1,29.5
1,29,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,Nidoran♀,NA,Poison,275,55,47,52,40,40,41,Poison Pin Pokémon,0.4,7
1,30,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Nidorina,NA,Poison,365,70,62,67,55,55,56,Poison Pin Pokémon,0.8,20
1,31,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Nidoqueen,NA,"Poison,Ground",505,90,92,87,75,85,76,Drill Pokémon,1.3,60
1,32,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,Nidoran♂,NA,Poison,273,46,57,40,40,40,50,Poison Pin Pokémon,0.5,9
1,33,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Nidorino,NA,Poison,365,61,72,57,55,55,65,Poison Pin Pokémon,0.9,19.5
1,34,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Nidoking,NA,"Poison,Ground",505,81,102,77,85,75,85,Drill Pokémon,1.4,62
1,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Clefairy,NA,Fairy,323,70,45,48,60,65,35,Fairy Pokémon,0.6,7.5
1,36,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Clefable,NA,Fairy,483,95,70,73,95,90,60,Fairy Pokémon,1.3,40
1,37,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Vulpix,NA,Fire,299,38,41,40,50,65,65,Fox Pokémon,0.6,9.9
1,37,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Vulpix,NA,Fire,299,38,41,40,50,65,65,Fox Pokémon,0.6,9.9
1,37,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,Alolan,Ice,299,38,41,40,50,65,65,Fox Pokémon,0.6,9.9
1,37,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,Alolan,Ice,299,38,41,40,50,65,65,Fox Pokémon,0.6,9.9
1,38,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Ninetales,NA,Fire,505,73,76,75,81,100,100,Fox Pokémon,1.1,19.9
1,38,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Ninetales,NA,Fire,505,73,76,75,81,100,100,Fox Pokémon,1.1,19.9
1,38,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,Alolan,"Ice,Fairy",505,73,67,75,81,100,109,Fox Pokémon,1.1,19.9
1,38,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,Alolan,"Ice,Fairy",505,73,67,75,81,100,109,Fox Pokémon,1.1,19.9
1,39,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Jigglypuff,NA,"Normal,Fairy",270,115,45,20,45,25,20,Balloon Pokémon,0.5,5.5
1,40,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Wigglytuff,NA,"Normal,Fairy",435,140,70,45,85,50,45,Balloon Pokémon,1,12
1,41,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Zubat,NA,"Poison,Flying",245,40,45,35,30,40,55,Bat Pokémon,0.8,7.5
1,42,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Golbat,NA,"Poison,Flying",455,75,80,70,65,75,90,Bat Pokémon,1.6,55
1,43,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Oddish,NA,"Grass,Poison",320,45,50,55,75,65,30,Weed Pokémon,0.5,5.4
1,44,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Gloom,NA,"Grass,Poison",395,60,65,70,85,75,40,Weed Pokémon,0.8,8.6
1,45,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Vileplume,NA,"Grass,Poison",490,75,80,85,110,90,50,Flower Pokémon,1.2,18.6
1,46,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,Paras,NA,"Bug,Grass",285,35,70,55,45,55,25,Mushroom Pokémon,0.3,5.4
1,47,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,Parasect,NA,"Bug,Grass",405,60,95,80,60,80,30,Mushroom Pokémon,1,29.5
1,48,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,Venonat,NA,"Bug,Poison",305,60,55,50,40,55,45,Insect Pokémon,1,30
1,49,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,Venomoth,NA,"Bug,Poison",450,70,65,60,90,75,90,Poison Moth Pokémon,1.5,12.5
1,50,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Diglett,NA,Ground,265,10,55,25,35,45,95,Mole Pokémon,0.2,0.8
1,50,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Diglett,NA,Ground,265,10,55,25,35,45,95,Mole Pokémon,0.2,0.8
1,50,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,Alolan,"Ground,Steel",265,10,55,30,35,45,90,Mole Pokémon,0.2,0.8
1,50,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,Diglett,Alolan,"Ground,Steel",265,10,55,30,35,45,90,Mole Pokémon,0.2,0.8
1,51,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Dugtrio,NA,Ground,425,35,100,50,50,70,120,Mole Pokémon,0.7,33.3
1,51,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Dugtrio,NA,Ground,425,35,100,50,50,70,120,Mole Pokémon,0.7,33.3
1,51,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,Alolan,"Ground,Steel",425,35,100,60,50,70,110,Mole Pokémon,0.7,33.3
1,51,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,Dugtrio,Alolan,"Ground,Steel",425,35,100,60,50,70,110,Mole Pokémon,0.7,33.3
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,NA,Normal,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,NA,Normal,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,Meowth,NA,Normal,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,Alolan,Dark,290,40,35,35,50,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,Alolan,Dark,290,40,35,35,50,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,Meowth,Alolan,Dark,290,40,35,35,50,40,90,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,Galarian,Steel,290,50,65,55,40,40,40,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,Galarian,Steel,290,50,65,55,40,40,40,Scratch Cat Pokémon,0.4,4.2
1,52,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Meowth,Galarian,Steel,290,50,65,55,40,40,40,Scratch Cat Pokémon,0.4,4.2
1,53,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Persian,NA,Normal,440,65,70,60,65,65,115,Classy Cat Pokémon,1,32
1,53,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Persian,NA,Normal,440,65,70,60,65,65,115,Classy Cat Pokémon,1,32
1,53,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,Alolan,Dark,440,65,60,60,75,65,115,Classy Cat Pokémon,1,32
1,53,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Persian,Alolan,Dark,440,65,60,60,75,65,115,Classy Cat Pokémon,1,32
1,54,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Psyduck,NA,Water,320,50,52,48,65,50,55,Duck Pokémon,0.8,19.6
1,55,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Golduck,NA,Water,500,80,82,78,95,80,85,Duck Pokémon,1.7,76.6
1,56,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,Mankey,NA,Fighting,305,40,80,35,35,45,70,Pig Monkey Pokémon,0.5,28
1,57,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,Primeape,NA,Fighting,455,65,105,60,60,70,95,Pig Monkey Pokémon,1,32
1,58,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Growlithe,NA,Fire,350,55,70,45,70,50,60,Puppy Pokémon,0.7,19
1,58,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Growlithe,NA,Fire,350,55,70,45,70,50,60,Puppy Pokémon,0.7,19
1,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,Growlithe,Hisuian,"Fire,Rock",350,60,75,45,65,50,55,Puppy Pokémon,0.7,19
1,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,Growlithe,Hisuian,"Fire,Rock",350,60,75,45,65,50,55,Puppy Pokémon,0.7,19
1,59,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Arcanine,NA,Fire,555,90,110,80,100,80,95,Legendary Pokémon,1.9,155
1,59,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Arcanine,NA,Fire,555,90,110,80,100,80,95,Legendary Pokémon,1.9,155
1,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,Arcanine,Hisuian,"Fire,Rock",555,95,115,80,95,80,90,Legendary Pokémon,1.9,155
1,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,Arcanine,Hisuian,"Fire,Rock",555,95,115,80,95,80,90,Legendary Pokémon,1.9,155
1,60,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Poliwag,NA,Water,300,40,50,40,40,40,90,Tadpole Pokémon,0.6,12.4
1,61,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Poliwhirl,NA,Water,385,65,65,65,50,50,90,Tadpole Pokémon,1,20
1,62,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Poliwrath,NA,"Water,Fighting",510,90,95,95,70,90,70,Tadpole Pokémon,1.3,54
1,63,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Abra,NA,Psychic,310,25,20,15,105,55,90,Psi Pokémon,0.9,19.5
1,64,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Kadabra,NA,Psychic,400,40,35,30,120,70,105,Psi Pokémon,1.3,56.5
1,65,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Alakazam,NA,Psychic,500,55,50,45,135,95,120,Psi Pokémon,1.5,48
1,65,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Alakazam,Mega,Psychic,600,55,50,65,175,105,150,Psi Pokémon,1.5,48
1,66,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Machop,NA,Fighting,305,70,80,50,35,35,35,Superpower Pokémon,0.8,19.5
1,67,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Machoke,NA,Fighting,405,80,100,70,50,60,45,Superpower Pokémon,1.5,70.5
1,68,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Machamp,NA,Fighting,505,90,130,80,65,85,55,Superpower Pokémon,1.6,130
1,69,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,Bellsprout,NA,"Grass,Poison",300,50,75,35,70,30,40,Flower Pokémon,0.7,4
1,70,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,Weepinbell,NA,"Grass,Poison",390,65,90,50,85,45,55,Flycatcher Pokémon,1,6.4
1,71,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,Victreebel,NA,"Grass,Poison",490,80,105,65,100,70,70,Flycatcher Pokémon,1.7,15.5
1,72,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Tentacool,NA,"Water,Poison",335,40,40,35,50,100,70,Jellyfish Pokémon,0.9,45.5
1,73,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Tentacruel,NA,"Water,Poison",515,80,70,65,80,120,100,Jellyfish Pokémon,1.6,55
1,74,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Geodude,NA,"Rock,Ground",300,40,80,100,30,30,20,Rock Pokémon,0.4,20
1,74,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,Geodude,NA,"Rock,Ground",300,40,80,100,30,30,20,Rock Pokémon,0.4,20
1,74,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,Alolan,"Rock,Electric",300,40,80,100,30,30,20,Rock Pokémon,0.4,20
1,74,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,Geodude,Alolan,"Rock,Electric",300,40,80,100,30,30,20,Rock Pokémon,0.4,20
1,75,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Graveler,NA,"Rock,Ground",390,55,95,115,45,45,35,Rock Pokémon,1,105
1,75,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,Graveler,NA,"Rock,Ground",390,55,95,115,45,45,35,Rock Pokémon,1,105
1,75,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,Alolan,"Rock,Electric",390,55,95,115,45,45,35,Rock Pokémon,1,105
1,75,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,Graveler,Alolan,"Rock,Electric",390,55,95,115,45,45,35,Rock Pokémon,1,105
1,76,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Golem,NA,"Rock,Ground",495,80,120,130,55,65,45,Megaton Pokémon,1.4,300
1,76,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,Golem,NA,"Rock,Ground",495,80,120,130,55,65,45,Megaton Pokémon,1.4,300
1,76,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,Alolan,"Rock,Electric",495,80,120,130,55,65,45,Megaton Pokémon,1.4,300
1,76,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,Golem,Alolan,"Rock,Electric",495,80,120,130,55,65,45,Megaton Pokémon,1.4,300
1,77,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Ponyta,NA,Fire,410,50,85,55,65,65,90,Fire Horse Pokémon,1,30
1,77,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Ponyta,NA,Fire,410,50,85,55,65,65,90,Fire Horse Pokémon,1,30
1,77,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,Galarian,Psychic,410,50,85,55,65,65,90,Fire Horse Pokémon,1,30
1,77,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,Galarian,Psychic,410,50,85,55,65,65,90,Fire Horse Pokémon,1,30
1,78,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Rapidash,NA,Fire,500,65,100,70,80,80,105,Fire Horse Pokémon,1.7,95
1,78,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Rapidash,NA,Fire,500,65,100,70,80,80,105,Fire Horse Pokémon,1.7,95
1,78,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,Galarian,"Psychic,Fairy",500,65,100,70,80,80,105,Fire Horse Pokémon,1.7,95
1,78,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,Galarian,"Psychic,Fairy",500,65,100,70,80,80,105,Fire Horse Pokémon,1.7,95
1,79,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Slowpoke,NA,"Water,Psychic",315,90,65,65,40,40,15,Dopey Pokémon,1.2,36
1,79,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Slowpoke,NA,"Water,Psychic",315,90,65,65,40,40,15,Dopey Pokémon,1.2,36
1,79,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Slowpoke,Galarian,Psychic,315,90,65,65,40,40,15,Dopey Pokémon,1.2,36
1,79,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Slowpoke,Galarian,Psychic,315,90,65,65,40,40,15,Dopey Pokémon,1.2,36
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Slowbro,NA,"Water,Psychic",490,95,75,110,100,80,30,Hermit Crab Pokémon,1.6,78.5
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Slowbro,NA,"Water,Psychic",490,95,75,110,100,80,30,Hermit Crab Pokémon,1.6,78.5
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,Mega,"Water,Psychic",590,95,75,180,130,80,30,Hermit Crab Pokémon,1.6,78.5
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,Mega,"Water,Psychic",590,95,75,180,130,80,30,Hermit Crab Pokémon,1.6,78.5
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Slowbro,Galarian,"Poison,Psychic",490,95,100,95,100,70,30,Hermit Crab Pokémon,1.6,78.5
1,80,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Slowbro,Galarian,"Poison,Psychic",490,95,100,95,100,70,30,Hermit Crab Pokémon,1.6,78.5
1,81,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Magnemite,NA,"Electric,Steel",325,25,35,70,95,55,45,Magnet Pokémon,0.3,6
1,82,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Magneton,NA,"Electric,Steel",465,50,60,95,120,70,70,Magnet Pokémon,1,60
1,83,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Farfetch'd,NA,"Normal,Flying",377,52,90,55,58,62,60,Wild Duck Pokémon,0.8,15
1,83,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Farfetch'd,NA,"Normal,Flying",377,52,90,55,58,62,60,Wild Duck Pokémon,0.8,15
1,83,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,Galarian,Fighting,377,52,95,55,58,62,55,Wild Duck Pokémon,0.8,15
1,83,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,Galarian,Fighting,377,52,95,55,58,62,55,Wild Duck Pokémon,0.8,15
1,84,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,Doduo,NA,"Normal,Flying",310,35,85,45,35,35,75,Twin Bird Pokémon,1.4,39.2
1,85,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,Dodrio,NA,"Normal,Flying",470,60,110,70,60,60,110,Triple Bird Pokémon,1.8,85.2
1,86,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,Seel,NA,Water,325,65,45,55,45,70,45,Sea Lion Pokémon,1.1,90
